"trackingcode","trackingcode","event31","event95","event29","event30","event94","event38","event33","event32"
"em_5363109",NA,20,1,1,2,1,1,0,0
"em_5337117",NA,19,13,0,509,179,0,0,2
"em_5015553",NA,19,10,0,210,58,0,0,0
"em_5367253",NA,19,6,24,8,8,24,0,0
"em_5355628",NA,19,1,1,25,1,1,0,0
"em_5289602",NA,18,13,0,616,300,0,0,15
"em_5191145",NA,18,9,0,306,89,0,0,3
"em_5317978",NA,18,8,0,93,13,0,0,0
"em_5314710",NA,18,6,0,213,96,0,0,2
"em_4891165",NA,18,6,0,209,46,0,0,1
"em_5197375",NA,18,3,0,87,9,0,0,0
"em_5318049",NA,18,2,0,51,3,0,0,0
"em_5358152",NA,18,1,50,8,4,50,0,0
"em_5318050",NA,17,7,0,133,27,0,0,2
"em_5079588",NA,17,2,0,75,1,0,0,0
"em_4994713",NA,17,2,0,40,1,0,0,0
"em_5358631",NA,17,1,1,8,1,1,0,0
"em_5362882",NA,16,12,257,185,121,263,6,0
"em_5177812",NA,16,6,0,262,105,0,0,5
"em_5367208",NA,16,3,24,13,6,24,0,0
"em_5296101",NA,16,1,0,34,1,0,0,0
"em_5244075",NA,15,12,0,338,205,0,0,10
"em_5187777",NA,15,6,0,104,12,0,0,0
"em_5161449",NA,15,1,0,72,5,0,0,0
"em_5193990",NA,14,8,0,481,242,0,0,10
"em_5099891",NA,14,8,0,434,142,0,0,5
"em_5200086",NA,14,6,-1,300,97,0,1,4
"em_5358160",NA,14,5,41,30,11,46,5,0
"em_5238567",NA,14,4,0,39,2,0,0,0
"em_5296092",NA,14,4,0,19,4,0,0,0
"em_5317994",NA,14,3,0,71,5,0,0,0
"em_5220786",NA,14,3,0,26,1,0,0,0
"em_5363125",NA,14,1,1,1,1,1,0,0
"em_5154694",NA,14,1,0,24,0,0,0,0
"em_4977996",NA,14,0,0,169,55,0,0,1
"em_5293243",NA,13,9,0,368,206,0,0,14
"em_5214019",NA,13,9,-1,729,396,0,1,9
"em_5248771",NA,13,5,0,74,6,0,0,1
"em_4887544",NA,13,3,0,151,11,0,0,0
"em_5018269",NA,13,2,0,286,80,0,0,0
"em_5363123",NA,13,1,1,2,1,1,0,0
"em_5275569",NA,13,1,0,15,1,0,0,0
